Time(ms),Raw_R,Raw_G,Raw_B,Range,V1_Norm,Peak_Diff,Calculated_BPM
1779201063970,139.03,62.64,144.77,0.00,0.000,0,0.0
1779201064000,139.04,62.62,144.76,0.00,0.000,0,0.0
1779201064031,139.48,63.04,144.93,0.00,0.000,0,0.0
1779201064057,139.62,63.11,145.01,0.00,0.000,0,0.0
1779201064100,139.67,63.12,145.08,0.00,0.000,0,0.0
1779201064134,139.69,63.17,145.08,0.00,0.000,0,0.0
1779201064163,139.66,63.24,145.03,0.00,0.000,0,0.0
1779201064199,139.69,63.38,145.01,0.00,0.000,0,0.0
1779201064230,139.74,63.60,144.99,0.00,0.000,0,0.0
1779201064263,139.78,63.83,144.96,0.00,0.000,0,0.0
1779201064297,139.85,64.04,144.95,0.00,0.000,0,0.0
1779201064326,139.89,64.19,144.97,0.00,0.000,0,0.0
1779201064357,139.95,64.29,144.99,0.00,0.000,0,0.0
1779201064399,139.98,64.45,144.97,0.00,0.000,0,0.0
1779201064440,139.91,64.53,144.93,0.00,0.000,0,0.0
1779201064464,139.93,64.69,144.89,0.00,0.000,0,0.0
1779201064498,140.00,64.83,144.92,0.00,0.000,0,0.0
1779201064533,140.02,65.04,144.90,0.00,0.000,0,0.0
1779201064562,140.03,65.14,144.89,0.00,0.000,0,0.0
1779201064597,139.90,64.71,144.91,0.00,0.000,0,0.0
1779201064631,139.71,63.87,144.96,0.00,0.000,0,0.0
1779201064675,139.50,63.19,144.98,0.00,0.000,0,0.0
1779201064699,139.40,62.84,144.97,0.00,0.000,0,0.0
1779201064728,139.43,62.79,144.97,0.00,0.000,0,0.0
1779201064763,139.41,62.81,144.95,0.00,0.000,0,0.0
1779201064801,139.40,62.71,144.97,0.00,0.000,0,0.0
1779201064832,139.40,62.69,144.96,0.00,0.000,0,0.0
1779201064859,139.41,62.67,144.98,0.00,0.000,0,0.0
1779201064898,139.38,62.69,144.95,0.00,0.000,0,0.0
1779201064927,139.37,62.65,144.94,0.00,0.000,0,0.0
1779201064964,139.36,62.63,144.94,0.00,0.000,0,0.0
1779201064999,139.37,62.66,144.96,0.00,0.000,0,0.0
1779201065028,139.40,62.81,144.94,0.00,0.000,0,0.0
1779201065116,139.49,63.12,144.94,0.00,0.000,0,0.0
1779201065138,139.57,63.35,144.94,0.00,0.000,0,0.0
1779201065200,139.68,63.64,144.94,0.00,0.000,0,0.0
1779201065231,139.73,63.84,144.92,0.00,0.000,0,0.0
1779201065309,139.81,64.10,144.92,0.00,0.000,0,0.0
1779201065335,139.91,64.29,144.95,0.00,0.000,0,0.0
1779201065401,139.90,64.40,144.92,0.00,0.000,0,0.0
1779201065432,139.78,64.00,144.95,0.00,0.000,0,0.0
1779201065505,139.51,62.72,145.06,0.00,0.000,0,0.0
1779201065529,139.39,62.45,145.01,0.00,0.000,0,0.0
1779201065564,139.39,62.43,145.01,0.00,0.000,0,0.0
1779201065602,139.38,62.36,145.01,0.00,0.000,0,0.0
1779201065630,139.35,62.29,144.99,0.00,0.000,0,0.0
1779201065660,139.35,62.31,144.98,0.00,0.000,0,0.0
1779201065693,139.37,62.40,144.96,0.00,0.000,0,0.0
1779201065733,139.37,62.39,144.98,0.00,0.000,0,0.0
