Time(ms),Raw_R,Raw_G,Raw_B,StdDev,V1_Norm,Peak_Diff,Calculated_BPM
1779237958720,122.38,31.92,128.87,0.39,0.005,0,0.0
1779237958750,122.45,31.97,128.89,0.39,0.004,0,0.0
1779237958785,122.48,32.08,128.88,0.39,0.005,0,0.0
1779237958819,122.49,32.11,128.88,0.39,0.005,0,0.0
1779237958850,122.30,31.84,128.85,0.38,0.005,0,0.0
1779237958897,121.95,31.35,128.82,0.39,0.003,0,0.0
1779237958925,121.62,31.05,128.80,0.42,0.002,0,0.0
1779237958949,121.53,31.00,128.80,0.46,0.002,0,0.0
1779237958986,121.48,31.09,128.81,0.49,0.001,0,0.0
1779237959020,121.51,31.12,128.81,0.50,0.001,0,0.0
1779237959059,122.52,31.13,128.79,0.48,0.002,0,0.0
1779237959091,122.60,31.19,128.81,0.45,0.005,0,0.0
1779237959118,122.75,31.23,128.81,0.45,0.006,0,0.0
1779237959153,122.80,31.22,128.81,0.46,0.008,0,0.0
1779237959183,122.83,31.22,128.80,0.46,0.009,0,0.0
1779237959216,122.84,31.23,128.80,0.46,0.009,0,0.0
1779237959254,122.80,31.22,128.79,0.47,0.009,0,0.0
1779237959293,122.78,31.21,128.79,0.47,0.008,0,0.0
1779237959327,122.79,31.21,128.79,0.47,0.008,0,0.0
1779237959358,122.85,31.22,128.79,0.47,0.008,0,0.0
1779237959388,122.92,31.24,128.79,0.48,0.008,0,0.0
1779237959452,122.97,31.25,128.78,0.48,0.008,0,0.0
1779237959489,123.01,31.26,128.78,0.49,0.008,0,0.0
1779237959521,123.07,31.27,128.78,0.49,0.008,0,0.0
1779237959549,122.62,32.74,128.83,0.49,0.008,0,0.0
1779237959584,122.68,32.35,128.83,0.48,0.007,0,0.0
1779237959619,122.74,32.42,128.84,0.47,0.006,0,0.0
1779237959651,122.79,32.46,128.85,0.46,0.006,0,0.0
1779237959688,122.83,32.53,128.85,0.46,0.006,0,0.0
1779237959722,122.89,32.65,128.86,0.46,0.007,0,0.0
1779237959755,122.72,32.49,128.85,0.46,0.006,0,0.0
1779237959786,122.42,31.88,128.83,0.46,0.006,0,0.0
1779237959827,122.04,31.27,128.80,0.47,0.004,0,0.0
1779237959848,121.90,31.12,128.79,0.49,0.004,0,0.0
1779237959888,121.89,31.08,128.79,0.50,0.002,0,0.0
1779237959918,121.91,31.09,128.79,0.50,0.002,0,0.0
1779237959948,121.82,30.99,128.78,0.49,0.002,0,0.0
1779237959983,121.81,30.99,128.78,0.47,0.002,0,0.0
1779237960023,121.75,30.98,128.80,0.46,0.002,0,0.0
1779237960050,121.92,31.02,128.80,0.43,0.003,0,0.0
1779237960085,122.00,31.03,128.80,0.44,0.003,0,0.0
1779237960120,122.01,31.03,128.80,0.45,0.004,0,0.0
1779237960150,121.98,31.03,128.80,0.46,0.004,0,0.0
1779237960181,121.99,31.03,128.80,0.46,0.005,0,0.0
1779237960225,122.02,31.04,128.80,0.46,0.005,0,0.0
1779237960260,122.09,31.06,128.80,0.46,0.005,0,0.0
1779237960291,122.16,31.07,128.80,0.46,0.005,0,0.0
1779237960325,122.22,31.08,128.80,0.45,0.006,0,0.0
1779237960358,122.24,31.08,128.80,0.44,0.006,0,0.0
1779237960392,122.29,31.09,128.79,0.43,0.006,0,0.0
1779237960424,122.45,31.11,128.78,0.42,0.006,0,0.0
1779237960453,122.35,31.10,128.79,0.40,0.007,0,0.0
1779237960483,122.28,31.09,128.78,0.37,0.007,0,0.0
1779237960528,122.29,31.10,128.78,0.34,0.006,0,0.0
1779237960558,122.50,32.42,128.87,0.34,0.007,0,0.0
1779237960590,122.53,32.49,128.86,0.33,0.007,0,0.0
1779237960621,122.53,32.11,128.85,0.32,0.007,0,0.0
1779237960651,122.48,32.10,128.84,0.31,0.007,0,0.0
1779237960685,122.36,31.77,128.83,0.29,0.007,0,0.0
1779237960718,122.03,31.27,128.80,0.26,0.005,0,0.0
1779237960749,121.74,31.03,128.80,0.25,0.005,0,0.0
1779237960784,121.68,30.99,128.79,0.25,0.003,0,0.0
1779237960829,121.60,30.95,128.79,0.27,0.002,0,0.0
1779237960848,121.63,30.96,128.79,0.28,0.002,0,0.0
1779237960882,122.24,31.09,128.80,0.28,0.003,0,0.0
1779237960921,122.45,31.15,128.80,0.28,0.006,0,0.0
1779237960957,122.53,31.16,128.81,0.29,0.007,0,0.0
1779237960991,122.59,31.17,128.80,0.29,0.007,0,0.0
1779237961060,122.64,31.18,128.80,0.29,0.008,0,0.0
1779237961094,122.68,31.19,128.81,0.30,0.008,0,0.0
1779237961122,122.70,31.20,128.81,0.31,0.008,0,0.0
1779237961151,122.69,31.19,128.81,0.32,0.007,0,0.0
1779237961182,122.74,31.20,128.81,0.33,0.007,0,0.0
1779237961217,122.79,31.22,128.81,0.33,0.007,0,0.0
1779237961250,122.85,31.23,128.81,0.34,0.007,0,0.0
1779237961286,122.87,31.23,128.80,0.35,0.007,0,0.0
1779237961318,122.93,31.25,128.81,0.36,0.007,0,0.0
1779237961349,122.97,31.26,128.81,0.38,0.007,0,0.0
1779237961383,123.05,31.27,128.79,0.39,0.007,0,0.0
1779237961418,122.94,31.25,128.79,0.40,0.007,0,0.0
1779237961448,122.68,31.20,128.79,0.40,0.007,0,0.0
1779237961484,122.60,31.18,128.80,0.40,0.006,0,0.0
1779237961517,122.57,31.17,128.79,0.40,0.005,0,0.0
1779237961546,122.56,31.17,128.80,0.40,0.005,0,0.0
1779237961585,122.15,31.06,128.79,0.40,0.004,0,0.0
1779237961616,121.95,31.53,128.83,0.42,0.003,0,0.0
1779237961653,121.55,31.07,128.80,0.45,0.001,0,0.0
1779237961687,121.44,30.92,128.79,0.48,0.000,0,0.0
1779237961719,121.30,30.91,128.80,0.52,0.000,0,0.0
1779237961747,122.46,31.11,128.80,0.52,0.001,0,0.0
1779237961783,122.45,31.16,128.81,0.51,0.003,0,0.0
1779237961815,122.50,31.16,128.82,0.49,0.005,0,0.0
1779237961848,122.52,31.16,128.81,0.46,0.006,0,0.0
1779237961892,122.54,31.17,128.81,0.43,0.007,0,0.0
1779237961919,122.58,31.17,128.81,0.43,0.007,0,0.0
1779237961957,122.61,31.18,128.81,0.43,0.007,0,0.0
1779237961989,122.60,31.18,128.81,0.43,0.007,0,0.0
1779237962018,122.61,31.18,128.81,0.43,0.008,0,0.0
1779237962055,122.62,31.19,128.81,0.43,0.007,0,0.0
1779237962084,122.70,31.21,128.81,0.43,0.007,0,0.0
1779237962118,122.77,31.22,128.81,0.43,0.007,0,0.0
1779237962159,122.81,31.23,128.81,0.44,0.008,0,0.0
1779237962182,122.88,31.24,128.81,0.44,0.008,0,0.0
1779237962224,122.91,31.25,128.80,0.44,0.008,0,0.0
1779237962250,122.93,31.25,128.81,0.44,0.008,0,0.0
1779237962290,123.11,31.29,128.80,0.45,0.008,0,0.0
1779237962321,123.16,31.30,128.80,0.46,0.008,0,0.0
1779237962358,123.16,31.29,128.80,0.47,0.008,0,0.0
1779237962396,123.20,31.30,128.79,0.47,0.008,0,0.0
1779237962421,122.57,31.13,128.78,0.47,0.008,0,0.0
1779237962446,122.41,31.13,128.80,0.47,0.006,0,0.0
1779237962492,122.26,31.10,128.80,0.47,0.004,0,0.0
1779237962519,121.80,31.00,128.79,0.49,0.003,0,0.0
1779237962555,121.55,30.96,128.81,0.52,0.001,0,0.0
1779237962584,121.56,30.96,128.80,0.54,0.001,0,0.0
1779237962618,122.41,31.09,128.80,0.53,0.000,0,0.0
1779237962651,122.45,31.14,128.81,0.51,0.004,0,0.0
1779237962693,122.48,31.15,128.81,0.47,0.005,0,0.0
1779237962722,122.50,31.16,128.81,0.40,0.006,0,0.0
1779237962750,122.55,31.17,128.80,0.40,0.006,0,0.0
1779237962785,122.58,31.16,128.80,0.40,0.006,0,0.0
1779237962817,122.61,31.17,128.80,0.40,0.007,0,0.0
1779237962848,122.56,31.16,128.80,0.40,0.007,0,0.0
1779237962882,122.56,31.16,128.81,0.40,0.007,0,0.0
1779237962918,122.60,31.17,128.80,0.40,0.007,0,0.0
1779237962953,122.64,31.18,128.80,0.40,0.007,0,0.0
1779237962985,122.67,31.19,128.81,0.40,0.007,0,0.0
1779237963021,122.70,31.20,128.80,0.40,0.007,0,0.0
1779237963052,122.72,31.20,128.81,0.40,0.007,0,0.0
1779237963082,122.76,31.21,128.81,0.40,0.007,0,0.0
1779237963114,122.79,31.21,128.80,0.40,0.007,0,0.0
1779237963145,122.79,31.22,128.80,0.40,0.007,0,0.0
1779237963179,122.83,31.23,128.81,0.40,0.007,0,0.0
1779237963214,123.05,31.27,128.80,0.41,0.007,0,0.0
1779237963247,123.09,31.28,128.79,0.41,0.008,0,0.0
1779237963286,123.09,31.28,128.79,0.41,0.008,0,0.0
1779237963319,123.11,31.28,128.79,0.41,0.008,0,0.0
1779237963347,122.93,31.24,128.80,0.40,0.008,0,0.0
1779237963384,122.66,31.18,128.80,0.39,0.007,0,0.0
1779237963421,121.63,30.93,128.78,0.42,0.003,0,0.0
1779237963452,121.64,30.97,128.80,0.45,0.001,0,0.0
1779237963479,121.52,30.94,128.80,0.49,0.001,0,0.0
1779237963515,122.65,31.15,128.80,0.47,0.001,0,0.0
1779237963549,122.58,31.17,128.81,0.43,0.004,0,0.0
1779237963585,122.58,31.18,128.81,0.39,0.005,0,0.0
1779237963612,122.61,31.18,128.81,0.39,0.005,0,0.0
1779237963650,122.64,31.19,128.81,0.39,0.006,0,0.0
1779237963679,122.68,31.20,128.80,0.38,0.006,0,0.0
1779237963722,122.69,31.21,128.81,0.38,0.007,0,0.0
1779237963747,122.68,31.21,128.81,0.38,0.007,0,0.0
1779237963785,122.83,31.24,128.81,0.39,0.007,0,0.0
1779237963820,122.88,31.26,128.81,0.39,0.008,0,0.0
1779237963853,122.94,31.27,128.81,0.39,0.008,0,0.0
1779237963884,123.01,31.28,128.81,0.40,0.008,0,0.0
1779237963926,123.03,31.28,128.81,0.40,0.008,0,0.0
1779237963949,123.06,31.30,128.81,0.41,0.008,0,0.0
1779237963985,123.08,31.29,128.81,0.41,0.008,0,0.0
1779237964024,123.14,31.31,128.81,0.42,0.008,0,0.0
1779237964051,122.47,31.13,128.80,0.42,0.008,0,0.0
1779237964083,122.50,31.16,128.81,0.43,0.006,0,0.0
1779237964117,122.70,31.22,128.81,0.43,0.005,0,0.0
1779237964163,122.72,31.22,128.81,0.43,0.005,0,0.0
1779237964185,122.71,31.21,128.81,0.42,0.005,0,0.0
1779237964221,122.77,31.22,128.81,0.42,0.006,0,0.0
1779237964250,122.71,31.20,128.81,0.41,0.006,0,0.0
1779237964285,122.50,31.16,128.81,0.41,0.005,0,0.0
1779237964322,122.22,31.11,128.82,0.40,0.004,0,0.0
1779237964349,122.13,31.09,128.81,0.41,0.003,0,0.0
1779237964383,122.16,31.10,128.82,0.42,0.003,0,0.0
1779237964413,122.16,31.10,128.82,0.39,0.003,0,0.0
1779237964452,122.04,31.07,128.82,0.36,0.003,0,0.0
1779237964483,122.05,31.07,128.82,0.31,0.003,0,0.0
1779237964516,122.06,31.08,128.82,0.33,0.003,0,0.0
1779237964553,122.09,31.08,128.82,0.34,0.004,0,0.0
1779237964585,122.12,31.09,128.82,0.35,0.004,0,0.0
1779237964622,122.14,31.09,128.82,0.36,0.004,0,0.0
1779237964649,122.14,31.09,128.82,0.37,0.004,0,0.0
1779237964684,122.17,31.10,128.82,0.38,0.004,0,0.0
1779237964720,122.23,31.11,128.82,0.38,0.005,0,0.0
1779237964753,122.30,31.13,128.82,0.38,0.005,0,0.0
1779237964789,122.38,31.15,128.82,0.37,0.006,0,0.0
1779237964821,122.43,31.16,128.82,0.37,0.006,0,0.0
1779237964854,122.46,31.16,128.82,0.36,0.007,0,0.0
1779237964890,122.50,31.17,128.82,0.34,0.007,0,0.0
1779237964934,122.51,31.17,128.82,0.32,0.007,0,0.0
1779237964952,122.56,31.18,128.81,0.30,0.007,0,0.0
1779237964985,122.73,31.21,128.81,0.28,0.008,0,0.0
1779237965012,122.75,31.22,128.81,0.25,0.007,0,0.0
1779237965054,122.74,31.21,128.81,0.26,0.008,0,0.0
1779237965086,122.76,31.22,128.81,0.27,0.008,0,0.0
1779237965118,122.82,31.22,128.80,0.27,0.008,0,0.0
1779237965149,122.75,31.20,128.80,0.27,0.008,0,0.0
1779237965188,122.51,31.14,128.81,0.27,0.007,0,0.0
1779237965221,122.23,31.09,128.81,0.26,0.006,0,0.0
1779237965252,122.12,31.07,128.81,0.26,0.005,0,0.0
1779237965288,122.09,31.07,128.81,0.26,0.004,0,0.0
1779237965318,121.94,31.03,128.80,0.27,0.003,0,0.0
1779237965347,121.95,31.03,128.81,0.28,0.003,0,0.0
1779237965386,121.99,31.04,128.81,0.28,0.003,0,0.0
1779237965414,122.00,31.05,128.81,0.29,0.003,0,0.0
1779237965450,122.06,31.06,128.81,0.29,0.003,0,0.0
1779237965481,122.10,31.07,128.81,0.28,0.004,0,0.0
1779237965516,121.96,31.04,128.81,0.29,0.004,0,0.0
1779237965547,121.95,31.04,128.81,0.29,0.004,0,0.0
1779237965586,122.14,31.08,128.81,0.29,0.004,0,0.0
1779237965619,122.15,31.09,128.80,0.29,0.004,0,0.0
1779237965652,122.19,31.09,128.80,0.29,0.005,0,0.0
1779237965686,122.24,31.10,128.80,0.29,0.006,0,0.0
1779237965724,122.24,31.10,128.80,0.29,0.006,0,0.0
1779237965748,122.28,31.10,128.80,0.29,0.006,0,0.0
1779237965779,122.33,31.11,128.80,0.29,0.006,0,0.0
1779237965815,122.38,31.12,128.81,0.29,0.006,0,0.0
1779237965848,122.41,31.12,128.80,0.29,0.007,0,0.0
1779237965884,122.42,31.12,128.80,0.29,0.007,0,0.0
1779237965921,122.40,31.12,128.80,0.28,0.006,0,0.0
1779237965950,122.45,31.12,128.79,0.28,0.006,0,0.0
1779237965989,122.60,31.15,128.79,0.28,0.006,0,0.0
1779237966016,122.50,31.13,128.79,0.27,0.007,0,0.0
1779237966048,122.29,31.09,128.80,0.25,0.006,0,0.0
